"","district.ID","numb.ini","district.name","males","females","total","males.per","females.per","gender.ratio","young","medium","old","young.per","medium.per","abitur.per","nodegree.per","unemployment","GDP.cap","pop.dens","refugees","east","refugee.ratio"
"92",5513,1,"Gelsenkirchen, kreisfreie Stadt",127169,130482,257651,0.493570760447272,0.506429239552728,0.974609524685397,79686,116101,69701,0.309278830666289,0.450613426689592,36.9,8.5,14.7,29709,2457.1,1289,0,0.00500289150828058
"93",5515,5,"Münster, kreisfreie Stadt",144350,157828,302178,0.477698575012079,0.522301424987921,0.914603238969004,111740,140074,65844,0.369782048990992,0.463547975034582,59.1,3.7,6,51399,988.2,1178,0,0.0038983645401055
"94",5554,6,"Borken, Landkreis",181636,183555,365191,0.49737260775868,0.50262739224132,0.98954536787339,122305,166113,86918,0.334906939108576,0.454866083775339,38.7,4,4.4,31302,256.4,1458,0,0.00399243135783741
"95",5558,1,"Coesfeld, Landkreis",106205,109791,215996,0.491698920350377,0.508301079649623,0.967337942089971,66978,98362,55692,0.310089075723624,0.455388062741903,44.3,2.7,3.4,24830,193.6,575,0,0.00266208633493213
"96",5562,2,"Recklinghausen, Landkreis",298195,314897,613092,0.486378879515636,0.513621120484364,0.946960434681817,175485,276245,176909,0.286229472901294,0.450576748677197,42.6,5.1,11,23258,807.3,2010,0,0.00327846391732399
"97",5566,1,"Steinfurt, Landkreis",216239,220888,437127,0.494682323443759,0.505317676556241,0.97895313462026,141194,197446,109801,0.323004527288408,0.451690241051228,41.7,3.5,4.9,26993,241.9,1457,0,0.00333312744351184
"98",5570,1,"Warendorf, Landkreis",134377,139035,273412,0.49148171989525,0.50851828010475,0.966497644478009,85180,122605,72619,0.311544482319723,0.448425818910655,43.3,2.9,5.9,28155,206.6,755,0,0.00276140037745234
"99",5711,2,"Bielefeld, kreisfreie Stadt",158982,170800,329782,0.482082102722404,0.517917897277596,0.930807962529274,110414,147824,84004,0.334809055679206,0.448247630252712,47.5,4.3,9.5,34216,1270.6,920,0,0.00278972169493787
"100",5754,0,"Gütersloh, Landkreis",176019,178444,354463,0.496579332680703,0.503420667319297,0.986410302391787,114193,162272,87625,0.322157742839168,0.457796723494413,44,3.4,5.4,41389,363.5,974,0,0.00274781853113019
"101",5758,1,"Herford, Landkreis",121572,127647,249219,0.487811924451988,0.512188075548012,0.952407812169499,74948,111376,69327,0.300731485159639,0.446900115962266,48.6,3.9,6.4,29667,552.8,778,0,0.00312175235435501
"102",5762,1,"Höxter, Landkreis",70833,71937,142770,0.496133641521328,0.503866358478672,0.984653238250136,43756,62571,39989,0.306478952160818,0.438264341248161,48.2,3.9,5.4,24422,118.8,529,0,0.00370526020872732
"103",5766,1,"Lippe, Landkreis",168192,176935,345127,0.487333648193274,0.512666351806726,0.950586373527001,107427,149140,97441,0.311268025973048,0.432130780842994,41.3,3.9,7.6,26111,277.1,1199,0,0.00347408345333747
